标题,地区,户型,面积,朝向,装修,楼层,建立时间,房子类型,总价,单价,关注人数,发布时间,标签,详情页
此房满五不唯一，大三房户型方正，楼层好，视野开阔,番禺海伦堡花样年华二期 -桥南,3室2厅 ,141.03, 南 , 精装 , 低楼层(共18层) , 2005年建 , 塔楼,395万,"28,009",7, 7天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403390964.html
高档社区清水房，东南向看小区里面,碧桂园凤凰城凤锦苑 -凤凰城,3室1厅 ,105, 南 , 毛坯 , 低楼层(共24层) , 2002年建 , 塔楼,180万,"17,143",1, 4天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403400081.html
越秀区白云山下 大院管理 外加大平台 南向 随时可看,濂泉路42号大院 -沙河,4室1厅 ,76.95, 南 , 精装 , 中楼层(共8层)  , 板楼,暂无数据,320万,"41,586",1, 5天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403397893.html
银利新村电梯高层南向四房 带私家50花园 少有资源,银利新村 -沙太南,4室1厅 ,93.47, 南 , 简装 , 高楼层(共10层)  , 塔楼,暂无数据,390万,"41,725",1, 4天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403400483.html
同福西路 中层大三房 近同福西地铁站 看房方便,同福西路 -同福,3室1厅 ,79.52, 北 , 简装 , 中楼层(共9层)  , 塔楼,暂无数据,268万,"33,703",1, 5天以前发布,近地铁-VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403396568.html
跑马地花园三期 08年新楼 满5年 西南向望花园 两房,跑马地花园三期 -珠江新城东,2室1厅 ,66.71, 西南 , 精装 , 低楼层(共33层) , 2006年建 , 塔楼,271万,"40,584",5, 3天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403401834.html
春兰花园 南向两房 采光通风好 交通便利,广信春兰花园 -京溪,2室1厅 ,67.78, 南 , 简装 , 9层 , 1995年建 , 塔楼,269万,"39,688",5, 5天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403396328.html
嘉富广场 3室1厅 南 北,嘉富广场 -水荫,3室1厅 ,93.32, 南 北 , 其他 , 高楼层(共9层) , 1999年建 , 塔楼,640万,"68,582",0, 4天以前发布,VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403399087.html
广州北站，地铁口，舒适大三房。,云山雅轩 -旧区,3室2厅 ,119.25, 北 , 精装 , 中楼层(共10层) , 2012年建 , 塔楼,160万,"13,418",0, 5天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403396013.html
原装电梯，精装修，各付各税，低于成交历史,金丰花园 -赤岗,2室1厅 ,63.79, 西 , 精装 , 中楼层(共12层) , 2000年建 , 塔楼,245万,"38,408",6, 4天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403399041.html
黄石西路 富力阳光美居 电梯高层3房 采光通风好,富力阳光美居 -马务,3室2厅 ,94.48, 东 , 简装 , 高楼层(共16层) , 2001年建 , 塔楼,305万,"32,282",2, 3天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403402373.html
业主诚心割爱南向二次装修3房！,祈福新村E区 -祈福新村,3室2厅 ,68.9, 南 , 精装 , 中楼层(共4层) , 1995年建 , 塔楼,168万,"24,384",12, 6天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403394974.html
证够5年  唯一物业   4房带主人套房,红棉苑北区 -花地湾,4室1厅 ,121.39, 东南 , 精装 , 中楼层(共9层) , 2000年建 , 塔楼,410万,"33,776",6, 5天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403395583.html
保利红棉花园 东南向 大两房 户型好 厅出阳台,保利红棉花园 -江燕路,2室2厅 ,69.19, 东南 , 其他 , 中楼层(共9层) , 1997年建 , 塔楼,250万,"36,133",5, 4天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403398837.html
满五年少税费，房屋格局好，户型方正,电视台小区 -龙口西,2室1厅 ,70, 东南 , 简装 , 8层 , 1999年建 , 塔楼,420万,"60,000",1, 5天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403396532.html
顶楼复式有露台，种花养鱼任你用，实用率zhao高,朗陶居 -桥南,3室1厅 ,100.7, 西北 , 简装 , 高楼层(共7层) , 2001年建 , 塔楼,240万,"23,834",2, 5天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403396562.html
锦绣半岛金月湾 电梯高层 视野开阔 装修保养好,锦绣半岛金月湾 -南浦,3室2厅 ,93.3, 东北 , 精装 , 高楼层(共31层) , 2009年建 , 塔楼,313万,"33,548",5, 5天以前发布,VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403397156.html
东南向三房两卫，花园小区近地铁，省级,江南苑 -工业大道北,3室2厅 ,118.51, 南 , 简装 , 中楼层(共18层) , 2002年建 , 塔楼,630万,"53,161",23, 3天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403401966.html
晓港湾小区 3条地铁汇交 大型花园,晓港湾 -东晓南,2室1厅 ,62.75, 东南 , 简装 , 中楼层(共9层) , 1999年建 , 塔楼,245万,"39,044",13, 7天以前发布,近地铁-VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403391847.html
东风东路754号大院 电梯三房 全新装修,东风东路754号大院 -东风东,3室1厅 ,73.26, 南 , 精装 , 高楼层(共12层) , 1988年建 , 塔楼,588万,"80,263",2, 5天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403397125.html
新世界电梯2房，精装修，保养新,新世界逸彩庭园 -滘口,2室1厅 ,78.33, 西南 , 精装 , 高楼层(共19层) , 2007年建 , 塔楼,305万,"38,938",5, 4天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403400282.html
冠庭园精致两房，交通教育娱乐生活便捷,冠庭园 -沙河,2室1厅 ,59.02, 西南 , 精装 , 高楼层(共6层) , 2001年建 , 塔楼,200万,"33,887",11, 4天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403398893.html
花都湖锦砖三房 小区管理 安静不靠路,日昌豪苑 -旧区,3室1厅 ,96.92, 南 , 简装 , 高楼层(共8层) , 2004年建 , 塔楼,110万,"11,350",10, 4天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403399578.html
仁安花园 3室2厅 北,仁安花园 -朱村,3室2厅 ,93.16, 北 , 毛坯 , 高楼层(共11层)  , 塔楼,暂无数据,130万,"13,955",3, 9天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403384353.html
广州机务段精装大两房，厅出阳台，楼层低,广州机务段 -三元里,2室1厅 ,55.5, 南 , 简装 , 低楼层(共7层)  , 暂无数据,暂无数据,140万,"25,226",11, 13天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403373677.html
时代廊桥  全新小三房  望小区花园,增城时代廊桥 -永和,3室1厅 ,82.97, 北 , 精装 , 高楼层(共33层) , 2017年建 , 塔楼,137万,"16,512",1, 8天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403387746.html
创新城谷围新村别墅 东南朝向 前后花园位置安静,谷围新村 -国际创新城,8室2厅 ,217.85, 东南 , 简装 , 低楼层(共3层)  , 暂无数据,暂无数据,595万,"27,313",19, 29天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403327037.html
大德路 全新两房 视野开阔 采光充足,大德路 -解放南,2室1厅 ,28.42, 东 西 , 精装 , 高楼层(共6层)  , 板楼,暂无数据,90万,"31,668",115, 6个月以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108402859835.html
高层洋房，稀有南向4房，看花园+白云山景，采光通风好,万科峯境 -白云大道南,4室2厅 ,123.52, 南 , 其他 , 高楼层(共7层)  , 塔楼,暂无数据,780万,"63,148",6, 28天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403328498.html
北向望花园，产权清晰，保养好，交通便利,富景花园 -新港西,3室2厅 ,91.81, 北 , 精装 , 高楼层(共11层) , 1997年建 , 塔楼,430万,"46,836",6, 25天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403338794.html
安静大院 框架中层 精装全明三房 三面单边采光通风好,昌岗中路 -昌岗,3室2厅 ,89.51, 南 北 , 精装 , 中楼层(共9层)  , 塔楼,暂无数据,280万,"31,282",9, 27天以前发布,近地铁-VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403332988.html
誉峰A4栋，四房双主套，高层正南向望花园单边位,誉峰 -珠江新城东,4室2厅 ,234.54, 南 , 精装 , 高楼层(共45层) , 2007年建 , 板楼,4150万,"176,943",9, 18天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403357624.html
合景誉山国际，户型方正靓三房，楼层视野开阔,合景誉山国际 -永和,3室2厅 ,93.06, 北 , 精装 , 中楼层(共9层)  , 塔楼,暂无数据,88万,"9,457",52, 15天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403366982.html
誉山国际，南北对流，户型方正，中流层，采光好,合景誉山国际 -永和,3室2厅 ,102.59, 南 北 , 精装 , 中楼层(共18层) , 2017年建 , 塔楼,169.8万,"16,552",6, 14天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403369346.html
正规一厅一房，户型靓，采光通风效果好,美业阁 -新塘北,1室1厅 ,36.97, 西 , 精装 , 中楼层(共7层)  , 平房,暂无数据,48万,"12,984",7, 6天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403395150.html
锦绣天伦花园 精装三房 附家电 即买即住 看房方便,敏捷锦绣天伦 -新塘北,3室2厅 ,98.05, 南 , 精装 , 低楼层(共18层) , 2017年建 , 塔楼,203万,"20,704",5, 13天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403372204.html
锦绣天伦精装两房，业主置换，看房方便！,敏捷锦绣天伦 -新塘北,2室1厅 ,75.52, 北 , 精装 , 高楼层(共32层)  , 塔楼,暂无数据,139万,"18,406",10, 14天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403370231.html
城市家园二期 证过5年 大3房 电梯高层 南北对流,城市家园二期 -新塘北,3室2厅 ,108.94, 北 , 简装 , 高楼层(共28层) , 2007年建 , 塔楼,142万,"13,035",5, 10天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403382640.html
实用小三房，中高楼层，视野好，出行方便。,翡翠绿洲森林半岛 -凤凰城,3室2厅 ,104.25, 东 , 精装 , 高楼层(共25层) , 2011年建 , 塔楼,185万,"17,746",1, 15天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403368474.html
新世界花园万象苑 精装两房 户型方正,新塘新世界花园万象苑 -沙村,2室1厅 ,77.88, 北 , 精装 , 中楼层(共16层) , 2009年建 , 塔楼,188万,"24,140",2, 14天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403370184.html
一线流溪河景  联排山顶小别墅  房子地理位置好,富力泉天下 -温泉镇,4室2厅 ,223.23, 南 西南 , 毛坯 , 3层  , 塔楼,暂无数据,190万,"8,512",9, 13天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403371672.html
时代倾城(增城区) 2室1厅 北,时代倾城(增城区) -荔城增江,2室1厅 ,57, 北 , 精装 , 高楼层(共31层) , 2011年建 , 塔楼,85万,"14,913",1, 5天以前发布,VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403396454.html
白江地铁口 汇东国际 标准南向三房 业主诚信放卖,汇东国际花园 -白江,3室2厅 ,111.16, 南 , 精装 , 低楼层(共28层) , 2015年建 , 塔楼,238万,"21,411",8, 14天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403370517.html
过五年唯一，中楼层，税费免1%契税1%,富雅都市华庭 -新塘北,2室2厅 ,80.27, 北 , 精装 , 中楼层(共11层) , 2014年建 , 塔楼,129.2万,"16,096",9, 10天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403381427.html
海伦堡大半岛 方正三房 证满五年唯一 装修保养好,广州海伦堡 -沙村,3室2厅 ,103.49, 北 , 精装 , 中楼层(共11层) , 2008年建 , 塔楼,200万,"19,326",1, 15天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403366715.html
碧桂园凤凰城凤馨苑 4室2厅 西,碧桂园凤凰城凤馨苑 -凤凰城,4室2厅 ,92.66, 西 , 精装 , 高楼层(共18层) , 2002年建 , 塔楼,175万,"18,887",4, 8天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403386647.html
南北对流3房，视野好，采光充足,尚东阳光雅苑 -沙村,3室2厅 ,106.37, 南 北 , 精装 , 高楼层(共32层) , 2011年建 , 塔楼,210万,"19,743",6, 11天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403378892.html
白云畔山花园.近地铁.精装修.过五唯一.步梯中层.,白云畔山花园 -梅花园,2室1厅 ,78.35, 东北 , 精装 , 8层 , 2003年建 , 塔楼,230万,"29,356",22, 25天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403338345.html
锦城4期 四房不靠高速 南向望花园 高楼层,雅居乐锦城花漾集 -秀全街,4室2厅 ,145.22, 南 , 精装 , 高楼层(共32层) , 2008年建 , 塔楼,239万,"16,458",12, 20天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403351334.html
房子满五年，高层采光好，视野开阔，业主诚卖,美好居 -车陂,2室1厅 ,59.17, 西南 , 简装 , 中楼层(共19层) , 2000年建 , 塔楼,325万,"54,927",32, 1个月以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403318001.html
新市 纵横缤城 电梯高层2房 格局方正,纵横缤城 -新市,2室2厅 ,77.54, 北 , 简装 , 高楼层(共18层) , 2009年建 , 塔楼,260万,"33,532",9, 1个月以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403317144.html
此房满二，东南向山顶公园位置，风景佳小区环境安静,万科幸福誉 -知识城,3室2厅 ,94.48, 南 , 精装 , 低楼层(共33层) , 2014年建 , 板塔结合,308万,"32,600",6, 1个月以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403316560.html
正规三房 毛坯 望花园 双阳台,碧泰豪苑 -旧区,3室2厅 ,95, 南 , 其他 , 低楼层(共14层) , 2015年建 , 塔楼,146万,"15,369",5, 27天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403333317.html
东晖花园两房 满五唯一 看公园景观 视野开阔采光好,东晖花园 -天河公园,2室1厅 ,73.4, 东北 , 简装 , 中楼层(共10层) , 1999年建 , 塔楼,476万,"64,740",7, 30天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403323782.html
翠城少有物业，四期南向看花园，三房两卫，装修保养靓,翠城花园 -江燕路,3室2厅 ,115.09, 南 , 精装 , 高楼层(共33层) , 2009年建 , 塔楼,730万,"63,429",4, 18天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403357784.html
祈福新村海晴居 实用三房  格局实用,祈福新村海晴居 -祈福新村,3室2厅 ,77.8, 北 , 简装 , 中楼层(共6层) , 2003年建 , 塔楼,220万,"28,278",7, 19天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403354604.html
华侨新村团结路大四房，东南北单边，户型方正通风对流,华侨新村 -淘金,4室2厅 ,129.12, 南 , 其他 , 低楼层(共6层) , 2000年建 , 板楼,900万,"69,703",15, 21天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403349052.html
厅出阳台南向 楼梯中层 格局好 小区新,晓翠苑 -机场路,3室1厅 ,80.21, 南 , 简装 , 中楼层(共8层) , 1999年建 , 塔楼,179万,"22,317",22, 22天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403345749.html
此房一手业主，房子没有抵押，低楼层，户型方正实用。,绿庭雅苑 -桥南,3室1厅 ,88.7, 南 , 简装 , 中楼层(共7层) , 2005年建 , 塔楼,200万,"22,548",13, 24天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403340988.html
金碧新城 小区中间望花园 楼层好 安静舒适 景观佳,金碧新城 -石井,2室1厅 ,62.95, 东北 , 精装 , 中楼层(共32层) , 2006年建 , 塔楼,187万,"29,707",9, 19天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403356251.html
东晓南板块 带有鸟语花香的花园 3条地铁交汇,万华花园 -东晓南,2室1厅 ,57.41, 北 , 简装 , 中楼层(共8层) , 1999年建 , 板楼,235万,"40,934",27, 27天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403330967.html
满五通风采光好，楼层视野开阔，居住舒适,骏景花园 -棠下,3室2厅 ,102.6, 西 , 简装 , 低楼层(共12层) , 2000年建 , 塔楼,533万,"51,878",12, 29天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403325636.html
同德花园 低层南向 望花园 景观好 安静不吵,同德花园同景苑 -同德围,2室1厅 ,54.9, 南 , 简装 , 中楼层(共8层) , 1998年建 , 塔楼,140万,"25,501",26, 20天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403351594.html
越秀区 三楼 户型靓 方正 随时可以看,铁路大院 -流花站前,2室1厅 ,55.99, 南 东南 , 简装 , 中楼层(共7层)  , 塔楼,暂无数据,132万,"23,576",40, 24天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403342552.html
星海公园旁小区管理 户型好方正南北对流 可公积金,星海园 -市桥,3室1厅 ,92.2, 南 北 , 简装 , 高楼层(共7层) , 1999年建 , 板楼,138万,"14,968",32, 22天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403345667.html
金泽豪庭，南向三房，安静舒适，拎包入住,金泽豪庭 -白江,3室1厅 ,89.28, 南 , 精装 , 中楼层(共26层) , 2007年建 , 塔楼,188万,"21,058",23, 27天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403332491.html
珠江新城标杆盘，中海花城湾大三房,中海花城湾 -珠江新城中,3室1厅 ,131.79, 北 , 精装 , 高楼层(共30层) , 2005年建 , 塔楼,1221万,"92,641",14, 17天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403360317.html
近华为研发区 中楼层 南北双阳台 全明大三房 保养好,华侨糖厂宿舍 -罗冲围,3室2厅 ,83.98, 东南 , 简装 , 中楼层(共8层) , 1997年建 , 塔楼,195万,"23,220",14, 30天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403323560.html
广州敏捷绿湖首府三期 3室2厅 南,广州敏捷绿湖首府三期 -石滩镇,3室2厅 ,115.61, 南 , 其他 , 低楼层(共32层) , 2019年建 , 暂无数据,120万,"10,380",3, 29天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403325769.html
大沙头四马路 2室1厅 南 北,大沙头四马路 -东湖,2室1厅 ,57.01, 南 北 , 精装 , 高楼层(共7层)  , 塔楼,暂无数据,338万,"59,288",12, 17天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403360058.html
岗贝社区白沙新村  精装实用三房  明亮方正看房方便,白沙新村 -机场路,3室2厅 ,54.15, 南 北 , 精装 , 低楼层(共9层) , 1998年建 , 塔楼,138万,"25,485",4, 19天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403355640.html
满五唯一 楼层好 阳台南向  采光充足 交通便利,棠德花苑 -棠下,2室1厅 ,56.25, 西南 , 精装 , 低楼层(共9层) , 2000年建 , 塔楼,188万,"33,423",2, 23天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403342934.html
岗贝路精装三房 南北对流 双阳台采光通风好,岗贝路 -机场路,3室1厅 ,68.9, 南 , 精装 , 中楼层(共6层)  , 板楼,暂无数据,156万,"22,642",7, 28天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403329849.html
光大花园 双阳台 满五唯一   乐峰商圈 楼龄新,光大花园 -工业大道北,2室1厅 ,72.84, 东北 , 精装 , 中楼层(共11层) , 2006年建 , 塔楼,448万,"61,505",49, 24天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403340587.html
星汇海珠湾 望江四房 次新房 中间楼层视野开阔,越秀星汇海珠湾 -工业大道中,4室2厅 ,109.37, 南 , 精装 , 中楼层(共55层)  , 塔楼,暂无数据,800万,"73,147",20, 17天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403361862.html
华颖花园 南向好户型两房 全明通透 满5年 安静舒适,华颖花园 -员村,2室1厅 ,46.1, 南 , 简装 , 中楼层(共5层) , 1999年建 , 板楼,188万,"40,781",29, 29天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403326434.html
富力桃园   高楼层   三房高层,富力桃园 -罗冲围,3室1厅 ,90.29, 北 , 精装 , 高楼层(共32层) , 2004年建 , 塔楼,338万,"37,435",5, 16天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403365541.html
融创空港经济区 祈福都会 2房 没入住过 看花园,祈福都会花园 -花山镇,2室2厅 ,77.18, 北 , 精装 , 低楼层(共11层) , 2009年建 , 塔楼,88万,"11,402",3, 27天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403331233.html
采光通风好，小区二期景林景观，户型通透，满五,海滨花园 -洛溪,3室2厅 ,111.8, 西 , 简装 , 中楼层(共8层) , 2000年建 , 塔楼,260万,"23,256",7, 31天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403321032.html
富力桃园   高楼层   三房高层,富力桃园 -罗冲围,3室1厅 ,90.29, 北 , 精装 , 高楼层(共32层) , 2004年建 , 塔楼,338万,"37,435",5, 16天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403365541.html
此房满五唯一，南北对流，中高层，视野开阔。。。,合景誉山国际 -永和,3室1厅 ,94.86, 南 北 , 精装 , 高楼层(共18层)  , 塔楼,暂无数据,169万,"17,816",1, 17天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403360143.html
福莱花园，户型方正，采光充足，东南向3房安静，不占,福莱花园 -水荫,3室1厅 ,95.11, 东南 , 精装 , 低楼层(共30层) , 1997年建 , 塔楼,556万,"58,459",22, 25天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403336982.html
户型方正 通风采光好，南向安静望花园，交通便利，,广海花园 -天河公园,2室1厅 ,77, 南 , 精装 , 高楼层(共19层) , 1996年建 , 塔楼,360万,"46,754",4, 24天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403340008.html
锦绣花园南区  低 楼层 南向望园内,锦绣花园南区 -钟村,3室2厅 ,80.2, 东南 , 简装 , 低楼层(共7层) , 1997年建 , 塔楼,178万,"22,195",9, 23天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403345162.html
刚需三房，中层，满五税费少，看房方便,美心东苑 -番禺客运站,3室1厅 ,78.5, 南 , 简装 , 中楼层(共7层) , 2004年建 , 塔楼,196万,"24,969",8, 26天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403334988.html
亚运城天成2区 3室1厅 南,亚运城天成2区 -亚运城,3室1厅 ,96.18, 南 , 精装 , 高楼层(共50层) , 2019年建 , 塔楼,314万,"32,648",11, 16天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403363530.html
三堂路，大三房 满五年  清晰随时可以过户,三堂路 -市桥,3室1厅 ,77.4, 东南 南 , 精装 , 低楼层(共6层)  , 板楼,暂无数据,125万,"16,150",21, 25天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403337908.html
金玫瑰苑 高层电梯两房 厅出阳台 视野好,嘉鸿花园金玫瑰苑 -东晓南,2室1厅 ,65.77, 东 , 简装 , 高楼层(共19层) , 1999年建 , 塔楼,295万,"44,854",10, 28天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403328215.html
精装电梯三房 带大平台 花园小区 近地铁,金迪城市花园 -机场路,3室1厅 ,62.31, 北 , 精装 , 低楼层(共15层) , 1995年建 , 塔楼,195万,"31,296",28, 18天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403358160.html
路劲天隽峰 电梯中层  没住过人 东南向 视野无遮挡,路劲天隽峰 -旧区,3室2厅 ,96.91, 东南 南 , 精装 , 中楼层(共32层) , 2019年建 , 塔楼,258万,"26,623",19, 25天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403338932.html
路劲天隽峰 南北对流单位 安静不靠路 户型双阳台设计,路劲天隽峰 -旧区,3室2厅 ,111, 西南 , 精装 , 中楼层(共32层) , 2019年建 , 塔楼,310万,"27,928",5, 20天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403352424.html
侨爱苑 花园小区 电梯房 安静三房,侨爱苑 -机场路,3室2厅 ,103.43, 南 东 , 简装 , 低楼层(共9层) , 1997年建 , 塔楼,288万,"27,845",9, 21天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403349594.html
天河北芳草园 C栋 厅出阳台 过五唯一 有钥匙,芳草园 -天润路,3室1厅 ,126.45, 东南 , 精装 , 低楼层(共31层) , 2004年建 , 板塔结合,958万,"75,745",11, 25天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403338889.html
晓翠苑 2室1厅 北,晓翠苑 -机场路,2室1厅 ,61.63, 北 , 简装 , 高楼层(共15层) , 1999年建 , 塔楼,151万,"24,502",10, 16天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403364788.html
业主诚心出手，南向大三房保养好，安静，舒适,万科里享家 -科学城,3室2厅 ,94.29, 东南 , 精装 , 低楼层(共34层)  , 塔楼,暂无数据,240万,"25,454",23, 21天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403350818.html
西门口精装3房1厅 东南向 厅出阳台,诗书路 -人民路,3室1厅 ,63.98, 东南 , 精装 , 低楼层(共9层)  , 塔楼,暂无数据,215万,"33,605",22, 20天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403352558.html
怡芳苑电梯2房 南向宽楼距  花园小区,怡芳苑 -花地湾,2室1厅 ,61.94, 南 , 其他 , 低楼层(共9层) , 1995年建 , 塔楼,210万,"33,904",7, 21天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403349866.html
